arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_njobs1_mode1_L2_norm_flow_time
32,4.639000,32768,338688.968831
32,5.649000,4096,290720.633876
32,7.918000,512,344869.687060
32,4.073000,262144,579265.050288
32,16.772000,64,268461.193475
