arrival_rate,bp_L,bp_H,FCFS_percentage,SRPT_percentage,total_rounds
36.00,13.00,262144,0.25,99.75,400
38.00,13.00,262144,0.00,100.00,400
40.00,13.00,262144,0.50,99.50,400
40.00,15.30,32768,0.00,100.00,400
40.00,19.70,4096,0.25,99.75,400
32.00,13.00,262144,0.25,99.75,400
30.00,13.00,262144,0.50,99.50,400
38.00,15.30,32768,0.00,100.00,400
34.00,13.00,262144,0.50,99.50,400
32.00,15.30,32768,0.00,100.00,400
28.00,13.00,262144,0.00,100.00,400
36.00,15.30,32768,0.00,100.00,400
30.00,15.30,32768,0.00,100.00,400
34.00,15.30,32768,0.00,100.00,400
22.00,15.30,32768,0.00,100.00,400
38.00,19.70,4096,0.00,100.00,400
26.00,15.30,32768,0.00,100.00,400
24.00,13.00,262144,0.00,100.00,400
26.00,13.00,262144,0.00,100.00,400
36.00,19.70,4096,0.00,100.00,400
22.00,13.00,262144,0.00,100.00,400
34.00,19.70,4096,0.00,100.00,400
28.00,15.30,32768,0.00,100.00,400
32.00,19.70,4096,0.00,100.00,400
20.00,13.00,262144,0.00,100.00,400
32.00,90.00,18,98.00,2.00,400
30.00,19.70,4096,0.00,100.00,400
24.00,15.30,32768,0.00,100.00,400
30.00,90.00,18,94.25,5.75,400
26.00,19.70,4096,0.00,100.00,400
20.00,19.70,4096,0.00,100.00,400
28.00,19.70,4096,0.00,100.00,400
38.00,32.30,512,0.00,100.00,400
20.00,15.30,32768,0.00,100.00,400
28.00,90.00,18,89.50,10.50,400
36.00,90.00,27,70.75,29.25,400
40.00,90.00,36,46.00,54.00,400
30.00,32.30,512,0.00,100.00,400
40.00,32.30,512,0.00,100.00,400
34.00,90.00,18,99.50,0.50,400
40.00,90.00,27,89.00,11.00,400
32.00,32.30,512,0.00,100.00,400
22.00,19.70,4096,0.00,100.00,400
36.00,90.00,18,99.50,0.50,400
28.00,32.30,512,0.00,100.00,400
36.00,32.30,512,0.00,100.00,400
34.00,32.30,512,0.00,100.00,400
34.00,90.00,27,61.50,38.50,400
24.00,32.30,512,0.00,100.00,400
26.00,32.30,512,0.00,100.00,400
38.00,90.00,27,83.00,17.00,400
38.00,90.00,18,99.75,0.25,400
22.00,32.30,512,0.00,100.00,400
40.00,90.00,18,99.75,0.25,400
28.00,90.00,36,0.75,99.25,400
28.00,90.00,27,15.75,84.25,400
26.00,90.00,18,71.75,28.25,400
24.00,90.00,36,0.00,100.00,400
32.00,90.00,36,3.00,97.00,400
34.00,90.00,36,10.25,89.75,400
24.00,19.70,4096,0.00,100.00,400
26.00,90.00,27,5.25,94.75,400
32.00,90.00,27,42.25,57.75,400
30.00,90.00,27,23.75,76.25,400
20.00,90.00,36,0.00,100.00,400
26.00,90.00,36,0.50,99.50,400
22.00,90.00,27,0.00,100.00,400
38.00,90.00,36,33.00,67.00,400
24.00,90.00,18,50.25,49.75,400
30.00,90.00,36,2.50,97.50,400
20.00,90.00,27,0.00,100.00,400
36.00,90.00,36,18.25,81.75,400
24.00,90.00,27,0.50,99.50,400
22.00,90.00,18,21.00,79.00,400
22.00,90.00,36,0.00,100.00,400
20.00,32.30,512,0.00,100.00,400
20.00,90.00,18,6.00,94.00,400
