frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,185304.440432,97244.000000,0.000000
4,169708.712888,76970.000000,0.000000
8,666861.595670,225705.000000,0.000000
16,332875.560307,165696.000000,0.000000
32,727723.138976,226830.000000,0.000000
64,443425.278837,157590.000000,0.000000
128,346076.257456,117967.000000,0.000000
256,303698.159403,122726.000000,0.000000
512,517146.736319,174293.000000,0.000000
1024,443764.544971,60549.000000,0.000000
2048,645721.234128,252577.000000,0.000000
4096,269161.596406,58815.000000,0.000000
8192,1044141.648930,198437.000000,0.000000
16384,816305.130887,113838.000000,0.000000
32768,712754.283698,161916.000000,0.000000
65536,2930186.984550,112220.000000,0.000000
