frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,160974.858953,53040.000000,0.000000
4,506198.626605,175466.000000,0.000000
8,318553.683233,95585.000000,0.000000
16,687569.454060,229336.000000,0.000000
32,544935.951997,214693.000000,0.000000
64,195768.542447,62739.000000,0.000000
128,702600.494449,225769.000000,0.000000
256,300941.982168,159017.000000,0.000000
512,540632.725408,167491.000000,0.000000
1024,960931.567248,242309.000000,0.000000
2048,470706.032332,163630.000000,0.000000
4096,757497.293093,197412.000000,0.000000
8192,991495.316237,274798.000000,0.000000
16384,1324968.627119,225660.000000,0.000000
32768,1046708.293644,57210.000000,0.000000
65536,501778.487890,119554.000000,0.000000
