frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,258591.110524,92152.000000,0.000000
4,433544.040833,151818.000000,0.000000
8,307070.197098,104249.000000,0.000000
16,417930.247683,224477.000000,0.000000
32,277235.128312,173747.000000,0.000000
64,527337.224392,210549.000000,0.000000
128,285822.880066,139810.000000,0.000000
256,183734.996111,56813.000000,0.000000
512,791502.776405,248200.000000,0.000000
1024,301658.423817,109356.000000,0.000000
2048,309456.284178,144184.000000,0.000000
4096,277598.151136,141224.000000,0.000000
8192,873582.635634,208432.000000,0.000000
16384,708940.253100,246357.000000,0.000000
32768,464314.327061,101836.000000,0.000000
65536,1141455.284179,225860.000000,0.000000
