frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,358252.394776,185330.000000,0.000000
4,244134.021980,80603.000000,0.000000
8,134567.431439,66763.000000,0.000000
16,480667.419376,163803.000000,0.000000
32,250553.628377,84470.000000,0.000000
64,337600.103934,119198.000000,0.000000
128,660097.694206,193635.000000,0.000000
256,763406.227847,312742.000000,0.000000
512,445947.585269,145043.000000,0.000000
1024,520643.293028,196770.000000,0.000000
2048,1287844.519680,277791.000000,0.000000
4096,2031936.478124,282896.000000,0.000000
8192,409503.639661,115369.000000,0.000000
16384,309649.248430,117970.000000,0.000000
32768,1517453.200519,260840.000000,0.000000
65536,1312540.380384,269235.000000,0.000000
