arrival_rate,L,FCFS_percentage,RMLF_percentage
20.0,16.772,100.0,0.0
20.0,7.918,62.5,37.5
20.0,5.649,50.0,50.0
20.0,4.639,66.7,33.3
20.0,4.073,37.5,62.5
22.0,16.772,100.0,0.0
22.0,7.918,62.5,37.5
22.0,5.649,50.0,50.0
22.0,4.639,50.0,50.0
22.0,4.073,12.5,87.5
24.0,16.772,100.0,0.0
24.0,7.918,62.5,37.5
24.0,5.649,50.0,50.0
24.0,4.639,50.0,50.0
24.0,4.073,33.3,66.7
26.0,16.772,100.0,0.0
26.0,7.918,50.0,50.0
26.0,5.649,62.5,37.5
26.0,4.639,71.4,28.6
26.0,4.073,12.5,87.5
28.0,16.772,100.0,0.0
28.0,7.918,50.0,50.0
28.0,5.649,37.5,62.5
28.0,4.639,37.5,62.5
28.0,4.073,50.0,50.0
30.0,16.772,100.0,0.0
30.0,7.918,62.5,37.5
30.0,5.649,25.0,75.0
30.0,4.639,50.0,50.0
30.0,4.073,37.5,62.5
32.0,16.772,100.0,0.0
32.0,7.918,87.5,12.5
32.0,5.649,25.0,75.0
32.0,4.639,12.5,87.5
32.0,4.073,37.5,62.5
34.0,16.772,100.0,0.0
34.0,7.918,62.5,37.5
34.0,5.649,25.0,75.0
34.0,4.639,25.0,75.0
34.0,4.073,77.8,22.2
36.0,16.772,100.0,0.0
36.0,7.918,75.0,25.0
36.0,5.649,42.9,57.1
36.0,4.639,12.5,87.5
36.0,4.073,37.5,62.5
38.0,16.772,100.0,0.0
38.0,7.918,77.8,22.2
38.0,5.649,22.2,77.8
38.0,4.639,11.1,88.9
38.0,4.073,12.5,87.5
40.0,16.772,100.0,0.0
40.0,7.918,50.0,50.0
40.0,5.649,50.0,50.0
40.0,4.639,12.5,87.5
40.0,4.073,44.4,55.6
