arrival_rate,bp_parameter,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm,DYNAMIC_L2_Norm,RFdynamic_L2_Norm,BAL_L2_Norm
20,"{'L': 4.073, 'H': 262144}",780180.4180463644,549991.1162073439,1246028.4599574762,8066546.132244891,863311.7247344669,549991.1162073439,860907.194750979,549693.868466804
22,"{'L': 4.073, 'H': 262144}",1004346.4966424684,710353.0937815362,1499973.2950526152,16118478.906445174,1059711.3163305372,710353.0937815362,1359635.7565267251,710224.7671209446
24,"{'L': 4.073, 'H': 262144}",309047.6414875221,208994.94665421935,412229.6988063815,2032037.037092582,350859.7655217822,208994.94665421935,332310.84566110687,208981.1693765733
26,"{'L': 4.073, 'H': 262144}",336874.5898416798,245453.97351234712,349562.7845137408,2133627.513699849,352682.8042618466,245453.97351234712,320473.81311895046,245414.5099133301
28,"{'L': 4.073, 'H': 262144}",228750.4707448708,166155.0926453956,272289.3032658463,1182458.8131880113,253562.67918800667,166155.0926453956,243244.46420627952,166058.1031717513
30,"{'L': 4.073, 'H': 262144}",109313.35678680809,76499.6453259752,120130.6813848985,418850.3384491888,116817.97073652668,76499.6453259752,117275.98186329544,76458.55400803758
32,"{'L': 4.073, 'H': 262144}",60027.231970165005,56752.63579782,76272.3723244531,361225.5793143669,61646.195819369095,56752.63579782,61781.300237207695,56648.56642493259
34,"{'L': 4.073, 'H': 262144}",64749.63708778606,57939.67525797845,79801.19028560915,363694.7430593409,74670.87479733983,57939.67525797845,74714.24403686354,57918.798286911995
36,"{'L': 4.073, 'H': 262144}",109045.46687047563,92966.12432493892,107039.04681003097,782063.0742977193,102970.23864204648,92966.12432493892,103592.4985797717,92862.17884585736
38,"{'L': 4.073, 'H': 262144}",118940.46292998864,114946.92382573792,116109.11670493407,1241070.0738020395,116109.11245892804,114946.92382573792,116244.94413951946,114808.11776176804
40,"{'L': 4.073, 'H': 262144}",50873.3149794664,41775.61645266291,57560.67670727995,235353.9909391808,52836.49992192897,41775.61645266291,50183.79083927399,41766.361524557055
