arrival_rate,bp_parameter,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm,DYNAMIC_L2_Norm,RFdynamic_L2_Norm,BAL_L2_Norm
20,"{'L': 18.9, 'H': 512}",23734698.51378696,14697745.057390573,28320441.36351286,23127888.859259743,24528139.783427544,14697745.057390573,23160070.606764395,16421878.92021111
22,"{'L': 18.9, 'H': 512}",22525674.448312063,14087954.63080986,27258921.48620143,22090698.763915323,23636284.51256502,14087954.63080986,22130177.977256466,15665514.60790283
24,"{'L': 18.9, 'H': 512}",21435913.452700004,13407137.17259121,26257695.695967954,21046380.124914568,22678574.565082833,13407137.17259121,21085309.865780156,14841879.626425251
26,"{'L': 18.9, 'H': 512}",20317994.25452131,12824897.190554395,24835671.220085476,19787832.554722484,21981631.634492695,12824897.190554395,19812055.354848295,14142095.544209637
28,"{'L': 18.9, 'H': 512}",19572468.098944012,12381303.74346793,24323197.80068675,18947510.996642143,21228732.48635985,12381303.74346793,18970471.64364181,13579964.362343593
30,"{'L': 18.9, 'H': 512}",18384869.79308287,11750644.498948388,23059166.461522304,17696582.867416777,19984921.319386672,11750644.498948388,17709944.35737778,12672095.986420874
32,"{'L': 18.9, 'H': 512}",17219422.52426939,11027332.066807002,21782920.33938631,16323373.426367696,18641477.80760155,11027332.066807002,16334702.67046263,11674018.16281819
34,"{'L': 18.9, 'H': 512}",16008045.732629327,10368617.77702742,20782028.905889433,15014649.88713503,17484890.006855004,10368617.77702742,15024598.504883615,10769298.735770356
36,"{'L': 18.9, 'H': 512}",14979955.877397636,9787795.21970888,18762590.994859267,13860716.389843635,16570431.232517034,9787795.21970888,13870724.263848012,9906294.837865973
38,"{'L': 18.9, 'H': 512}",14485903.840520274,9409130.181348167,18169737.99925519,13247240.545655234,16149555.946850056,9409130.181348167,13254634.46312753,9484897.72270118
40,"{'L': 18.9, 'H': 512}",13605639.5882556,9043144.190225651,17208868.3787519,12406922.571353462,15744955.812877564,9043144.190225651,12415657.11775897,8777924.450642133
