arrival_rate,bp_parameter,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm,DYNAMIC_L2_Norm,RFdynamic_L2_Norm,BAL_L2_Norm
20,"{'L': 13.0, 'H': 262144}",16110324.237227412,10210700.239068132,39324578.78499855,43542176.39605508,16702383.8781676,10210700.239068132,25168934.481180128,10699024.33495751
22,"{'L': 13.0, 'H': 262144}",15124749.239535213,9630260.185456362,30958749.99545888,55042098.877809845,15836366.64458944,9630260.185456362,17077555.652263265,9926692.574206728
24,"{'L': 13.0, 'H': 262144}",14913506.244625073,9578081.5741805,28313034.384471085,36987318.54663501,15831371.777912425,9578081.5741805,19716598.519440696,9837227.542263215
26,"{'L': 13.0, 'H': 262144}",13431443.114294011,8647363.890320852,27477780.536958437,39294933.018317856,14273915.399769014,8647363.890320852,16038421.733998174,8607115.781947691
28,"{'L': 13.0, 'H': 262144}",12413936.108479531,8026032.321658317,20016852.193728488,30062793.115894355,13060507.560381602,8026032.321658317,15306896.680041092,7827856.770784453
30,"{'L': 13.0, 'H': 262144}",12344604.670936206,7906065.8024675585,24543247.442502774,40464149.34052855,12861907.366732003,7906065.8024675585,13256894.04936209,7656415.855168788
32,"{'L': 13.0, 'H': 262144}",10576430.008928722,6873882.334974901,16785970.360385396,25753915.3009224,11481496.674833642,6873882.334974901,11536519.920654235,6465573.102468643
34,"{'L': 13.0, 'H': 262144}",10582308.535470791,6881487.7627205,18989954.25749496,37058827.01338202,11218127.60114432,6881487.7627205,11664128.436714506,6443754.007845893
36,"{'L': 13.0, 'H': 262144}",9323894.42283384,6051945.288819373,13968007.05862626,30106822.670543,9897331.628484013,6051945.288819373,10283693.900079,5613854.382249774
38,"{'L': 13.0, 'H': 262144}",8951823.887131885,5846878.4608966345,13339754.012511026,23799684.06369906,9531455.256722609,5846878.4608966345,9706629.14010966,5442206.273463824
40,"{'L': 13.0, 'H': 262144}",8470628.115047904,5491096.594097303,13686191.935566992,31158951.27990753,9132234.82038734,5491096.594097303,9185241.062347302,5174251.158782689
