arrival_rate,bp_parameter,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm,DYNAMIC_L2_Norm,RFdynamic_L2_Norm,BAL_L2_Norm
20,"{'L': 56.3, 'H': 64}",40687709.35640987,25913405.38746241,35521510.00387296,23159272.997159734,39228098.195527285,23214429.89021839,23161924.48028434,23153887.40325883
22,"{'L': 56.3, 'H': 64}",39097431.27742631,25319247.36778793,35146535.63259497,22138942.48665184,38415775.20390692,22209453.514008444,22141279.251185782,22134976.953106165
24,"{'L': 56.3, 'H': 64}",37272827.99619468,24482875.35844983,34666726.77001299,21004319.148924395,37349553.87445368,21079171.816771124,21006430.70616689,20999785.11294101
26,"{'L': 56.3, 'H': 64}",35005897.040533096,23444233.491835855,34012258.085720584,19616219.29906622,36079048.44132057,19703580.683197256,19617866.68810763,19612482.6347543
28,"{'L': 56.3, 'H': 64}",33602218.17249675,22928809.007403087,33726204.222648256,18722629.377410214,35542061.7087405,18832214.028691582,18724279.80612005,18719687.87196616
30,"{'L': 56.3, 'H': 64}",31970735.85619771,22312216.4540901,33101195.852057975,17764512.517218646,34763525.25466002,17892507.76137627,17765874.79940681,17761764.433660865
32,"{'L': 56.3, 'H': 64}",30095361.30031266,21459619.804954093,32463838.645548772,16655798.957869958,33161397.520591453,16793614.553159513,16656876.550313389,16654003.391132746
34,"{'L': 56.3, 'H': 64}",28155248.05381675,20605292.069033332,31848384.488875005,15473924.119600754,31967977.015130986,15625541.2985407,15475185.693563066,15472915.576194843
36,"{'L': 56.3, 'H': 64}",25309660.778481506,19538333.901590686,30801629.26825224,13797662.05908374,29799635.168357264,13991135.634202609,13798687.359604971,13798336.266277757
38,"{'L': 56.3, 'H': 64}",23867172.045189872,19002230.63686669,30501920.81328032,12941179.236190224,28890007.47708285,13160451.305407956,12942192.358730186,12942571.274226964
40,"{'L': 56.3, 'H': 64}",21953748.30183297,17968229.910614345,29636884.505573574,11831754.450895395,27617842.98833283,12055360.811943376,11832590.635658026,11834680.459430665
