arrival_rate,bp_parameter,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm,DYNAMIC_L2_Norm,RFdynamic_L2_Norm,BAL_L2_Norm
20,"{'L': 15.3, 'H': 32768}",20537967.03523925,13003210.918473445,36704138.52890015,42550372.15261061,21324125.548349503,13003210.918473445,45586127.452335484,13767556.611252047
22,"{'L': 15.3, 'H': 32768}",19432974.866278656,12308246.64732264,32831201.51355256,34599263.799532495,20254766.912296053,12308246.64732264,36052904.05756707,13034843.545352165
24,"{'L': 15.3, 'H': 32768}",18860653.34685254,11941018.823687492,31045136.72230401,36454261.41013898,19734016.969739612,11941018.823687492,37820370.07921903,12580083.354528736
26,"{'L': 15.3, 'H': 32768}",18112885.42070095,11526655.659825968,28082922.21646412,35023960.04580788,19193862.200609054,11526655.659825968,36489487.059819914,11899540.0956529
28,"{'L': 15.3, 'H': 32768}",16217903.371105064,10417264.35595507,26823093.622678947,31489137.810713097,17250148.262608297,10417264.35595507,33197378.529710792,10567926.941697648
30,"{'L': 15.3, 'H': 32768}",15511625.822845908,9955813.594970375,26364714.64775629,36266754.71845672,16286252.594737748,9955813.594970375,38788135.16603264,9923647.196016897
32,"{'L': 15.3, 'H': 32768}",14496467.085207002,9366030.872566832,23388246.59657265,32980779.605605505,15308306.037458943,9366030.872566832,35179758.14486588,9288139.113473969
34,"{'L': 15.3, 'H': 32768}",15066463.336734371,9639764.016475769,25560355.73222988,34832373.33189062,15752756.353211332,9639764.016475769,36411310.74082299,9391457.495671958
36,"{'L': 15.3, 'H': 32768}",13251804.582748758,8625569.783363532,21655411.53565605,32735091.732093528,14443901.94446016,8625569.783363532,15138250.182833582,8199842.899473867
38,"{'L': 15.3, 'H': 32768}",13759828.091211714,8939011.178630441,22752310.62430937,37586557.12082447,14534207.764941473,8939011.178630441,33809702.83509361,8493657.590092799
40,"{'L': 15.3, 'H': 32768}",12326270.814260654,7967534.734982019,18801669.250351977,30868662.794987153,12820922.555471389,7967534.734982019,13571447.695938816,7478123.2777635455
