arrival_rate,bp_parameter,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm,DYNAMIC_L2_Norm,RFdynamic_L2_Norm,BAL_L2_Norm
20,"{'L': 4.639, 'H': 32768}",1157445.583519156,773497.8327358132,1558827.051014961,4863700.029997122,1311177.1766504326,773497.8327358132,1320606.0694775714,773444.7173974363
22,"{'L': 4.639, 'H': 32768}",839950.5525053246,551577.431369341,1088606.0559045223,5759606.762886248,952326.8500640944,551577.431369341,924672.0985387198,551531.7760655319
24,"{'L': 4.639, 'H': 32768}",1093738.0499539184,730673.3203504833,1261398.309086785,7496809.230277171,1140811.8269346617,730673.3203504833,1126540.3627385038,730605.3655770672
26,"{'L': 4.639, 'H': 32768}",645409.7611006515,430520.5406632766,722342.8808232279,4515782.655851364,635307.1259028974,430520.5406632766,698707.2519668019,430495.68827109056
28,"{'L': 4.639, 'H': 32768}",294726.3660448451,222934.569663388,273293.8213059344,2599692.157740797,290020.7312555432,222934.569663388,302198.192590558,222922.49991420784
30,"{'L': 4.639, 'H': 32768}",574023.4807984774,403634.3419197629,628348.0929699716,3705394.880406945,587881.4866858795,403634.3419197629,575557.1044336087,403599.44263217214
32,"{'L': 4.639, 'H': 32768}",130808.76154906444,107304.59905334904,138350.05839897576,1145930.886576935,133223.4974469594,107304.59905334904,130821.3032384252,107273.82396931696
34,"{'L': 4.639, 'H': 32768}",321236.9933740509,248586.7871428407,380881.0787371827,2593732.8874986335,384468.4422797273,248586.7871428407,325995.7495321066,248432.87841185596
36,"{'L': 4.639, 'H': 32768}",47386.63538382948,42888.29664372322,52620.948993723025,212662.5757015089,48998.80550584882,42888.29664372322,48746.36084878542,42881.73875905687
38,"{'L': 4.639, 'H': 32768}",33535.92215818733,27639.03493250081,33946.68782075801,99670.8219590869,33723.37755919475,27639.03493250081,34108.19545211971,27637.753906567737
40,"{'L': 4.639, 'H': 32768}",69821.8999455042,64275.97109340317,66195.6340403202,450168.088893471,68305.27440102996,64275.97109340317,68343.65765745933,64239.12938388876
