arrival_rate,bp_parameter,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm,DYNAMIC_L2_Norm,RFdynamic_L2_Norm,BAL_L2_Norm
20,"{'L': 8.5, 'H': 262144}",7991330.287069231,5138080.881283789,13007286.432323154,22065814.452158257,8401350.486520546,5138080.881283789,8722934.322977504,4967494.005736595
22,"{'L': 8.5, 'H': 262144}",6852296.290013006,4406731.760688413,11302907.676543854,18378852.90067604,7158064.607361546,4406731.760688413,7356685.559046479,4128881.7199120633
24,"{'L': 8.5, 'H': 262144}",6203531.568299866,4096213.0662843944,11269563.936748218,34103670.41962114,6805845.002719942,4096213.0662843944,6895736.677058514,3767050.7788569825
26,"{'L': 8.5, 'H': 262144}",5092952.602419543,3311480.812843855,7824898.565587672,17583167.672147557,5388259.3566553565,3311480.812843855,5532534.987026472,3175587.3028169135
28,"{'L': 8.5, 'H': 262144}",4631532.495140783,3010856.3156256727,6670666.9851119835,13530945.258249847,4845198.724644532,3010856.3156256727,4971863.282029484,2878542.9438491967
30,"{'L': 8.5, 'H': 262144}",4377387.326794946,2865357.100643653,6025120.014157561,12871855.44258348,4696930.969643156,2865357.100643653,4825968.423307078,2843445.8841838366
32,"{'L': 8.5, 'H': 262144}",4009662.347100813,2548186.6019493155,4962607.53427097,12475044.519693466,4136672.7763791033,2548186.6019493155,4299749.082592844,2548119.4557475126
34,"{'L': 8.5, 'H': 262144}",3897202.627033652,2582235.1560125193,7027293.118290427,20970419.374126643,4235539.872624268,2582235.1560125193,4168918.6937439786,2581830.605248919
36,"{'L': 8.5, 'H': 262144}",3070887.900537237,2074008.9738962075,4513687.313308489,14032821.397486964,3463045.871076212,2074008.9738962075,3433924.8011598913,2073711.5833760488
38,"{'L': 8.5, 'H': 262144}",1798561.3661362794,1159763.2912254122,3093166.408589263,15464340.904534664,1871245.0732915772,1159763.2912254122,1897726.323918968,1159601.7787995152
40,"{'L': 8.5, 'H': 262144}",1428165.8848456645,975081.2225630232,2161361.003719647,7791272.932565641,1754063.8365216358,975081.2225630232,1641428.5089269043,973562.0827045392
