arrival_rate,bp_parameter,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm,DYNAMIC_L2_Norm,RFdynamic_L2_Norm,BAL_L2_Norm
20,"{'L': 32.3, 'H': 512}",45929247.65817969,28050169.96884174,49643908.60766521,40715452.382736705,47288907.5733181,28050169.96884174,40811878.15249354,30879505.26903812
22,"{'L': 32.3, 'H': 512}",44468268.58768226,27161389.16911554,48831335.933900736,39475152.09482879,45895704.081453286,27161389.16911554,39578659.62786017,30051380.230753098
24,"{'L': 32.3, 'H': 512}",43415475.09076754,26530774.537311025,47623780.46114091,38064855.23757185,45118002.20987099,26530774.537311025,38177059.423791066,29803784.43756437
26,"{'L': 32.3, 'H': 512}",41710667.660069615,25571871.01065667,46319503.597985744,36573077.04525023,43622177.1670401,25571871.01065667,36672434.463003054,28736622.22806153
28,"{'L': 32.3, 'H': 512}",40117236.304562904,24687172.039182354,44959819.73947422,35248266.03083145,42384853.32810698,24687172.039182354,35344102.05526292,27947778.12897009
30,"{'L': 32.3, 'H': 512}",40487416.87503202,24975284.86879573,45760116.46934938,35380316.89097288,42773127.44069268,24975284.86879573,35465385.73282019,28048554.25912956
32,"{'L': 32.3, 'H': 512}",38349374.51563799,23694132.907810196,43958704.92103558,33336734.75980236,40707952.30982152,23694132.907810196,33415662.03015167,26511030.874048956
34,"{'L': 32.3, 'H': 512}",37899107.07755722,23406469.07636344,43601169.2653116,33108446.221175965,40032616.20167804,23406469.07636344,33213690.935539942,26342367.564203527
36,"{'L': 32.3, 'H': 512}",36308649.549537875,22613019.196200315,42457935.34961273,31108063.90665369,38516519.89592445,22613019.196200315,31188329.163287684,25189677.48377307
38,"{'L': 32.3, 'H': 512}",34622793.92333379,21694373.71980798,41117045.012561955,29687513.018019244,36884524.1595708,21694373.71980798,29767605.65153758,24007296.313891742
40,"{'L': 32.3, 'H': 512}",34367157.14292439,21591623.500933506,40690725.34998478,29564351.76326562,36721098.75847188,21591623.500933506,29620022.33577389,23909013.3289256
