arrival_rate,bp_parameter,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm,DYNAMIC_L2_Norm,RFdynamic_L2_Norm,BAL_L2_Norm
20,"{'L': 12.4, 'H': 4096}",14516720.867166763,9234372.952926636,21465524.103428084,22727169.705453712,15233648.73557832,9234372.952926636,23289473.03624412,9609521.386587732
22,"{'L': 12.4, 'H': 4096}",13725724.843537882,8728007.469566809,20681390.408667427,23534285.208363585,14534330.366080338,8728007.469566809,24158117.53990768,8988110.078617752
24,"{'L': 12.4, 'H': 4096}",12720535.84688609,8160452.153837678,18009854.118311148,19619099.28563159,13606526.936730107,8160452.153837678,20024754.83189038,8336887.76865264
26,"{'L': 12.4, 'H': 4096}",12572705.716490624,8018976.761873675,17126258.068336733,21510387.660637267,13132217.90369639,8018976.761873675,13739625.198232628,8074158.640750441
28,"{'L': 12.4, 'H': 4096}",11262377.820367998,7237795.21844795,15283511.96651856,18663032.35949909,11845097.949548328,7237795.21844795,12304757.629070597,6990875.00581129
30,"{'L': 12.4, 'H': 4096}",10496028.53150076,6831844.561352593,14700298.037398834,20136581.331863903,11216145.969024966,6831844.561352593,13109734.493932666,6499383.370383763
32,"{'L': 12.4, 'H': 4096}",9360481.400152238,6053265.774320916,12427455.871701336,16191081.772327568,10042864.747477831,6053265.774320916,10404765.117654266,5649864.451258189
34,"{'L': 12.4, 'H': 4096}",7830790.541663849,5178408.086290806,10230901.014912909,13647380.819250008,8518283.64323923,5178408.086290806,8773269.981638888,4695595.139644282
36,"{'L': 12.4, 'H': 4096}",7758229.9251851905,5099822.677909105,10220863.528721971,13423342.986182729,8524312.903366406,5099822.677909105,8570216.112213857,4642654.911688247
38,"{'L': 12.4, 'H': 4096}",7087485.406635699,4652080.458758425,8915122.661122,13529423.110203406,7794558.630831126,4652080.458758425,7686902.765271459,4374849.2739263605
40,"{'L': 12.4, 'H': 4096}",5933682.550163179,3924017.5196273015,7747383.958173881,10772418.430923346,6547630.201832034,3924017.5196273015,6779102.7374496255,3722673.419646155
