arrival_rate,bp_parameter,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm,DYNAMIC_L2_Norm,RFdynamic_L2_Norm,BAL_L2_Norm
20,"{'L': 9.8, 'H': 32768}",9825842.717989285,6329612.8601038465,18029951.201192144,25150717.405671176,10550767.389184635,6329612.8601038465,10834502.744917,6296595.177354345
22,"{'L': 9.8, 'H': 32768}",8932904.807396248,5759982.7742421245,13765894.786589464,21605227.01542217,9461890.237979302,5759982.7742421245,9879931.779710932,5559927.460519517
24,"{'L': 9.8, 'H': 32768}",8519544.716801068,5480327.206386951,11976371.161077632,17431030.646477647,9004414.621419817,5480327.206386951,9214833.934345914,5218825.446029787
26,"{'L': 9.8, 'H': 32768}",7674460.954418753,5028809.013341131,12460738.996615369,17397463.880835533,8300324.802141541,5028809.013341131,8382633.043694505,4657960.7739692265
28,"{'L': 9.8, 'H': 32768}",7705887.852677328,5057679.928387521,11572950.93408993,22711507.24698178,8309040.209827366,5057679.928387521,8228151.938595993,4702146.4080691915
30,"{'L': 9.8, 'H': 32768}",5877397.337608629,3893531.405969008,9240815.62878678,17070596.77658256,6362380.464359547,3893531.405969008,6574474.369334632,3611868.846309483
32,"{'L': 9.8, 'H': 32768}",6147396.713050899,4004512.020610376,8454191.434699714,17094574.69117939,6516717.343126906,4004512.020610376,6552655.469040624,3833854.27488148
34,"{'L': 9.8, 'H': 32768}",4387720.532005428,2909190.6693156087,5933821.181991079,14695763.346049055,4721253.630456852,2909190.6693156087,4926327.9379702285,2852439.4209358767
36,"{'L': 9.8, 'H': 32768}",4821096.884733805,3095393.4170773835,6091010.659509389,13526891.359380657,5097974.709095858,3095393.4170773835,5309557.427802152,3084205.8039691513
38,"{'L': 9.8, 'H': 32768}",3759356.940708211,2319042.015961763,4751658.958473661,11554315.78004587,3805098.153526923,2319042.015961763,3887126.452356033,2318993.3640418206
40,"{'L': 9.8, 'H': 32768}",2651222.040447952,1792647.957613262,3757966.4673200585,9102389.010927295,3077014.9966989113,1792647.957613262,3174341.332136007,1792123.0949602765
