arrival_rate,bp_parameter,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm,DYNAMIC_L2_Norm,RFdynamic_L2_Norm,BAL_L2_Norm
20,"{'L': 7.918, 'H': 512}",5388805.417701404,3524276.913387624,6662102.784339641,6048873.810550771,5897011.627042802,3524276.913387624,6051253.269382798,3266569.6029108274
22,"{'L': 7.918, 'H': 512}",4575945.91587193,3080197.30638753,5750689.586004361,5135435.468556293,5208006.703097837,3080197.30638753,5138636.046034493,2702970.4480530303
24,"{'L': 7.918, 'H': 512}",2912990.213023209,2095948.4991239647,3895322.025864357,3140083.547273225,3600738.9797351323,2095948.4991239647,3145366.5825927192,1798586.8368485854
26,"{'L': 7.918, 'H': 512}",2026639.7306556485,1524008.499021905,2984282.941696045,2100801.873958608,2934097.5663402877,1524008.499021905,2103254.0659658783,1411344.066825308
28,"{'L': 7.918, 'H': 512}",1395371.6111781837,1157482.7820274476,2342607.8247147985,1387674.4353493005,2136322.734367633,1157482.7820274476,1390464.4507958484,1115085.8537892946
30,"{'L': 7.918, 'H': 512}",654186.3413057475,765042.1138590999,1848030.8401690703,618195.729478941,1599712.458579979,765042.1138590999,1082241.5033882223,721583.2832944511
32,"{'L': 7.918, 'H': 512}",154079.54774401436,134416.645427566,321326.08923023974,149327.32749232472,276806.74719197146,134416.645427566,150269.72626247778,134254.19329019112
34,"{'L': 7.918, 'H': 512}",51137.04328566523,36401.70990489321,69590.98223189554,52703.19633570624,65942.37359240263,36401.70990489321,63717.66583138463,36401.70990489321
36,"{'L': 7.918, 'H': 512}",38330.53142078779,27078.8116799833,49603.048283346456,39002.448346225654,46508.70083113481,27078.8116799833,42601.44848476399,27078.8116799833
38,"{'L': 7.918, 'H': 512}",37253.63967453381,27511.160080956237,56163.53332902053,40986.03808615807,46406.2080545265,27511.160080956237,42389.72728150064,27511.160080956237
40,"{'L': 7.918, 'H': 512}",30818.389510160978,22938.536614178334,40041.07497308233,32718.966090021855,36583.24162782735,22938.536614178334,36382.35349726568,22938.536614178334
