arrival_rate,bp_parameter,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm,DYNAMIC_L2_Norm,RFdynamic_L2_Norm,BAL_L2_Norm
20,"{'L': 5.649, 'H': 4096}",78565.42211431183,52323.284262362584,111079.52267182282,135499.49849722692,93765.35383071937,52323.284262362584,84664.57892767199,52296.0712099867
22,"{'L': 5.649, 'H': 4096}",88538.64275557877,55298.48253795035,94469.28438916004,162794.57263987642,87423.4267058893,55298.48253795035,99595.79555382847,55290.46604976305
24,"{'L': 5.649, 'H': 4096}",79855.08521064892,54141.80705332987,100589.5882136914,172318.47824304856,82628.55097361928,54141.80705332987,83498.56902965464,54113.67056483971
26,"{'L': 5.649, 'H': 4096}",66631.22739376785,43995.11901336329,80668.49106063656,170936.206635692,75506.97269126872,43995.11901336329,76774.25223992742,43942.0513062374
28,"{'L': 5.649, 'H': 4096}",14130.092214844177,10577.676304368557,13299.963270625976,24463.099844459615,14173.52937697594,10577.676304368557,14178.907644808183,10570.05217584095
30,"{'L': 5.649, 'H': 4096}",14987.694952860496,12127.745503596288,15259.725423479938,25108.67595075455,15967.954565316122,12127.745503596288,16130.91187751021,12064.50309793155
32,"{'L': 5.649, 'H': 4096}",26342.2352886007,19020.41350759757,32012.726594278098,53932.389906252065,30886.15416331402,19020.41350759757,31388.535120326975,18944.491204569207
34,"{'L': 5.649, 'H': 4096}",9980.410562697309,8841.58390787533,10278.090532778937,24463.516713669767,10156.673865001278,8841.58390787533,10087.730616942545,8841.58390787533
36,"{'L': 5.649, 'H': 4096}",7491.566925550355,5916.72899497687,9798.092671535618,12536.838477064302,8869.715553500011,5916.72899497687,8043.60410512601,5913.901165897178
38,"{'L': 5.649, 'H': 4096}",20499.430382330134,16834.056938242782,22656.919340457564,70854.45292993236,21249.39507374269,16834.056938242782,21693.17074565173,16791.33461044714
40,"{'L': 5.649, 'H': 4096}",6394.154752584583,5891.865748640239,6289.567552701855,13902.715741897337,6313.148184543113,5891.865748640239,6622.836778903735,5888.44555039783
