arrival_rate,bp_parameter,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm,DYNAMIC_L2_Norm,RFdynamic_L2_Norm,BAL_L2_Norm
20,"{'L': 19.7, 'H': 4096}",28885642.664793007,18005264.83176029,42562512.1256215,41357857.6764901,29590942.981503412,18005264.83176029,41957171.999940865,19350788.703059755
22,"{'L': 19.7, 'H': 4096}",27587116.053104192,17196762.658272486,40532023.95960367,38864703.14242753,28405797.538781215,17196762.658272486,39458092.651959874,18526213.43239068
24,"{'L': 19.7, 'H': 4096}",27269866.387026817,17084977.796937343,40495839.880932435,40014565.192074485,28206777.58689611,17084977.796937343,40584260.83767284,18176397.448452264
26,"{'L': 19.7, 'H': 4096}",26025861.10601989,16384827.59876426,38261132.32931407,38403674.63480584,27347425.37157158,16384827.59876426,38971771.427798,17311775.518804677
28,"{'L': 19.7, 'H': 4096}",24177222.02495632,15268983.529660644,35116821.35625743,35712562.13240263,25665105.219560996,15268983.529660644,36321843.10439105,16045550.086584847
30,"{'L': 19.7, 'H': 4096}",23342537.663228136,14740150.170728823,33645427.128323086,34093183.794149116,24715608.59236309,14740150.170728823,34659792.41176249,15484658.18144214
32,"{'L': 19.7, 'H': 4096}",22902986.98694513,14526956.468087766,33438161.72480905,33040713.037019584,24215578.23128558,14526956.468087766,33640102.80557228,15243854.91859126
34,"{'L': 19.7, 'H': 4096}",22296912.7017103,14165467.098703276,31177171.08652631,34128238.81239323,23301685.406023573,14165467.098703276,34878680.574988395,14768320.465532362
36,"{'L': 19.7, 'H': 4096}",21221962.299303096,13462529.760103522,29621281.728945058,31623430.046966948,22235223.941554803,13462529.760103522,32165344.03928624,13922274.243595583
38,"{'L': 19.7, 'H': 4096}",19947547.083118163,12812831.946538867,27199820.17378339,30829276.358978085,21121196.17792229,12812831.946538867,31424112.489073165,12859659.954727495
40,"{'L': 19.7, 'H': 4096}",18479447.386458557,11931248.745916456,25365275.373532433,26595549.590223607,19983182.23449771,11931248.745916456,27127087.357180923,11812431.90347775
