frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1840203.342397,297704.000000,184.745771
4,1085807.979958,286009.000000,124.205475
8,2869565.985430,304406.000000,274.071159
16,2298633.290145,284403.000000,253.416653
32,2737444.232363,303549.000000,16334.041233
64,1700549.367750,294646.000000,641.762417
128,2930247.959776,298359.000000,180888.924932
256,2861783.755797,290096.000000,92315.775727
512,2251551.722885,283868.000000,348360.969867
1024,2606440.739073,297412.000000,496301.594333
2048,1762258.940470,251434.000000,159868.144929
4096,3107469.936935,292217.000000,774353.168974
8192,1638694.039577,247185.000000,297106.433061
16384,3499678.852411,299373.000000,1108461.893012
32768,1900232.252612,258798.000000,309542.745712
65536,3712460.409086,243771.000000,3590814.174255
