frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,2320256.436018,279323.000000,30824.058039
4,1067393.004801,190133.000000,16271.182194
8,2334949.758740,303697.000000,316.368456
16,2121322.301882,283245.000000,60979.763053
32,2049480.680029,288659.000000,74019.858322
64,2414515.171761,264169.000000,237493.514252
128,3090142.237140,297797.000000,4390.175395
256,2681216.499437,295848.000000,59599.856241
512,2846000.337983,295318.000000,209563.596311
1024,3358794.424468,303432.000000,166968.876480
2048,3147347.212322,303287.000000,750593.497199
4096,1969934.404056,303096.000000,354352.253086
8192,4121228.679130,301351.000000,233707.603817
16384,2120379.622541,296234.000000,940486.319222
32768,3181924.376646,300296.000000,2306667.811975
65536,4865574.469978,283846.000000,4459931.301156
