frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,937071.272245,269156.000000,159.712241
4,1288862.369752,272031.000000,1889.435895
8,2289130.080990,295760.000000,328.362604
16,1594298.985936,258781.000000,19166.303843
32,2455820.530262,299977.000000,227.593937
64,2904646.159049,298783.000000,994.699955
128,2576335.680481,300530.000000,1416.100632
256,2717813.536849,291938.000000,500012.658902
512,2439535.579111,302248.000000,231112.309114
1024,2756293.714513,300855.000000,118018.831502
2048,2866670.229024,288607.000000,651113.366945
4096,3295112.767632,293076.000000,751762.908899
8192,1932380.066767,277806.000000,888579.009022
16384,3370624.362371,290786.000000,582830.247619
32768,1331032.135194,118475.000000,975055.401032
65536,3901355.829184,303180.000000,2981392.559999
