frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1188644.012755,289573.000000,216.437058
4,1429212.824510,290301.000000,586.436697
8,1515183.995308,267022.000000,4093.753290
16,1632087.852273,236225.000000,132.996241
32,2864303.672767,297171.000000,343.588417
64,2960020.573705,297542.000000,1052.451899
128,2290229.449776,291199.000000,103315.469969
256,2132053.587517,303896.000000,47867.756246
512,3181003.481493,301261.000000,91501.287138
1024,3258650.871037,295453.000000,312566.705265
2048,3716101.089802,290381.000000,1224893.564021
4096,745122.902972,100552.000000,69742.724667
8192,1239400.090892,205993.000000,600218.096603
16384,1907282.850453,220491.000000,758943.670814
32768,3439617.462330,301532.000000,1863367.277723
65536,62230.302386,17205.000000,0.000000
