frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,2366307.608157,271674.000000,224.911094
4,1837241.853577,303162.000000,142.035207
8,1823444.491625,214766.000000,2251.890539
16,2102028.697854,301436.000000,162.157331
32,2599549.191286,280256.000000,19384.815630
64,2621709.679666,301812.000000,762.423767
128,2969571.928591,287363.000000,1712.964681
256,2528467.747262,296104.000000,348768.745939
512,3298767.407963,296825.000000,266937.832517
1024,3020174.225706,267861.000000,372764.041933
2048,3382981.836783,299337.000000,608717.240309
4096,3482893.457645,302869.000000,995778.132796
8192,3220325.392213,252156.000000,1751837.226014
16384,3015443.472614,187371.000000,2456535.786204
32768,3892044.468049,288655.000000,1730796.411038
65536,1437885.524105,134404.000000,0.000000
