frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1287379.801764,255515.000000,96.176920
4,2064568.335924,304840.000000,93.658956
8,2447964.602334,300460.000000,56.000000
16,2116646.675797,300437.000000,1587.405430
32,1348311.697502,278925.000000,305.596139
64,2694980.743377,304825.000000,810.028395
128,2167195.158014,299113.000000,151287.055104
256,2567577.141047,298202.000000,31323.088274
512,2771510.414065,299953.000000,347754.003074
1024,2217621.063108,293942.000000,486435.426081
2048,3163770.656754,295950.000000,857384.656423
4096,2509190.812093,272671.000000,264811.105047
8192,3219872.936055,297876.000000,1492375.360274
16384,4234418.811740,301474.000000,2813619.932086
32768,5876796.330661,305776.000000,4767878.394134
65536,2455293.472386,296938.000000,1362716.916354
