frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1261839.887428,292450.000000,115.056508
4,1925318.799145,291833.000000,328.458521
8,2382786.161319,297795.000000,34564.706161
16,2254567.335214,293726.000000,89.966660
32,2704192.285813,307231.000000,324.972307
64,2718508.371308,298094.000000,193158.895255
128,2409173.878222,290743.000000,281952.119834
256,2912097.029813,292468.000000,390624.293812
512,2248604.812949,299230.000000,381380.590544
1024,3192778.364703,293307.000000,372876.405482
2048,1856903.980880,254749.000000,378399.930531
4096,2209334.986282,303699.000000,701245.360211
8192,2705186.944881,267210.000000,473445.549892
16384,2748719.832736,292402.000000,974141.597055
32768,317982.389605,52515.000000,1040.987512
65536,5317486.815306,304481.000000,4657703.457320
