frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,2022967.791998,295984.000000,78.847955
4,1719934.782833,293626.000000,211012.007440
8,2020527.999029,281721.000000,18425.055631
16,2793234.194589,298599.000000,5339.267834
32,1696856.258852,245537.000000,1144.114505
64,2780156.266188,301840.000000,1059.233685
128,3088579.145241,301466.000000,115206.673583
256,1979973.275504,302269.000000,15542.232111
512,3200993.911907,299409.000000,116446.457877
1024,3580419.774440,301941.000000,429123.419509
2048,2342010.972299,279712.000000,192068.672503
4096,2327323.492423,299794.000000,436038.686349
8192,1495405.548070,132138.000000,479985.568985
16384,3461893.359271,288369.000000,1912242.542077
32768,5372041.025478,300864.000000,3553191.094816
65536,895145.693753,72292.000000,878473.437243
