frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,199000.796772,75765.000000
128,233336.800762,47469.000000
2048,138164.276392,45916.000000
16384,375276.873988,61343.000000
256,177456.757941,42746.000000
16,180518.988118,43709.000000
8,194191.336249,47104.000000
512,189690.180658,37604.000000
32768,78120.728914,35655.000000
64,209405.604557,97899.000000
65536,34414.135831,21901.000000
32,221651.734356,64930.000000
2,171631.906139,40470.000000
8192,221496.638446,36817.000000
4096,175991.298640,44204.000000
4,185579.813803,48215.000000
