frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
128,155751.556361,37810.000000
1024,181015.784292,61231.000000
16,189703.602451,46786.000000
2048,89228.739019,47104.000000
2,174145.721929,37168.000000
16384,328128.176759,65801.000000
256,139613.067873,40452.000000
512,198241.038887,41209.000000
64,159863.747942,40201.000000
32,205084.953488,45181.000000
4096,149650.738341,40297.000000
32768,7647.637936,3047.000000
8,186617.894105,51960.000000
65536,8125.038769,3367.000000
4,222177.342396,44995.000000
8192,169580.817317,50750.000000
