frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,157150.056580,44574.000000
128,227219.867600,54689.000000
2048,191113.717606,44363.000000
16384,149927.467610,54756.000000
16,190838.147188,39219.000000
256,219033.275164,50169.000000
64,158211.580727,70154.000000
512,184220.716408,44298.000000
8,233070.202304,47451.000000
4096,301918.473496,42245.000000
65536,224585.258298,57882.000000
4,195204.065383,42193.000000
32768,114661.615962,46380.000000
32,182419.454757,42498.000000
8192,92683.643428,32794.000000
2,183709.174997,44952.000000
