frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,278719.913596,57605.000000
16384,126951.397487,36484.000000
2048,303390.239004,58112.000000
16,181336.148354,51974.000000
128,160750.449259,39151.000000
256,191488.358884,38790.000000
4,214754.813771,51054.000000
512,202348.324535,56385.000000
8,223134.502177,50594.000000
8192,188798.489660,44142.000000
65536,42442.567583,29548.000000
4096,373616.778898,50846.000000
64,208660.915576,46519.000000
2,148942.088662,42162.000000
32,185895.938296,55501.000000
32768,70978.971097,30484.000000
