frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,275981.631534,50068.000000
128,140286.572896,43752.000000
2048,85898.249941,34322.000000
256,281303.596036,205664.000000
8,204039.927112,59325.000000
16384,32866.157275,19305.000000
16,251343.009388,54486.000000
2,172977.095802,54666.000000
64,202775.013907,55074.000000
4096,229606.792961,54184.000000
32768,424765.087040,56437.000000
65536,242597.813644,118028.000000
8192,110169.066371,38203.000000
4,157790.731505,48014.000000
512,247762.659824,56943.000000
32,230268.481736,51286.000000
