frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
128,259172.035478,50336.000000
1024,169099.833326,37310.000000
256,222819.248031,44940.000000
16,219208.485698,43112.000000
2048,287660.859056,69600.000000
16384,298331.357314,58323.000000
2,191944.323779,54907.000000
512,193916.916627,44590.000000
64,208452.466790,42758.000000
32768,54581.660317,26271.000000
8192,229055.600466,37727.000000
4,191814.161638,42269.000000
8,179823.757844,50089.000000
65536,172520.377675,67183.000000
32,169678.916498,38619.000000
4096,191103.760962,43618.000000
