frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,213334.026887,43303.000000
128,175024.930890,42941.000000
16384,245296.404821,73497.000000
16,186755.599779,48348.000000
8,177856.274002,48184.000000
2048,247798.332200,46037.000000
2,204058.010485,55581.000000
512,124570.575101,51904.000000
32768,43503.159299,31227.000000
64,161529.755912,38795.000000
256,209016.164026,43805.000000
65536,143904.588342,34834.000000
8192,278018.611219,49281.000000
4,203110.718080,51747.000000
32,223515.498044,47044.000000
4096,264873.096469,41272.000000
