frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,230628.030120,55747.000000
128,220752.019239,44046.000000
16384,55314.958971,17836.000000
256,167196.848666,42467.000000
2,189606.964698,53051.000000
2048,199251.068953,36484.000000
8,174064.954965,39523.000000
16,193137.626313,41354.000000
32,212966.588161,41533.000000
32768,12338.083117,5382.000000
65536,258450.228296,59146.000000
64,203741.865651,48572.000000
8192,196085.617956,64735.000000
4,166835.878773,46757.000000
4096,378983.208383,59707.000000
512,122264.537565,43116.000000
