frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_max_flow_time
1024,84672.019953,37836.000000
128,208386.010756,74909.000000
2048,151479.188049,57158.000000
16384,32579.824140,24383.000000
256,200202.664148,40855.000000
2,199229.069034,47624.000000
4,198258.151477,50820.000000
512,171585.275461,47592.000000
64,197340.414097,45007.000000
16,164054.059733,41176.000000
8,178338.208691,43191.000000
32768,326868.765470,72772.000000
65536,10406.456169,6889.000000
8192,297054.305123,61935.000000
32,179033.018614,48030.000000
4096,107738.744744,30911.000000
