batch,Dynamic,Dynamic_BAL,RFDynamic
1,8842.7107,8842.7107,3621.5366
2,5702.6624,5702.6624,6662.4043
3,10585.3882,10585.3882,10585.3882
4,11605.0939,11605.0939,11605.0939
5,16658.2271,16658.2271,16658.2271
6,16110.6033,16110.6033,16110.6033
7,12863.6652,12863.6652,12863.6652
8,8565.9631,8565.9631,8565.9631
9,12225.1933,12225.1933,12225.1933
10,13158.9896,13158.9896,13158.9896
11,13906.0716,13906.0716,13906.0716
12,14426.8010,14426.8010,14426.8010
13,13167.5711,13167.5711,13167.5711
14,13312.8882,13312.8882,13312.8882
15,15045.5763,15045.5763,15045.5763
16,17328.2967,17328.2967,17328.2967
17,15053.9215,15053.9215,15053.9215
18,7779.6714,7779.6714,7779.6714
19,2715.1508,2715.1508,2715.1508
20,5972.5960,5972.5960,5972.5960
21,11140.1920,11140.1920,11140.1920
22,13795.4512,13795.4512,13795.4512
23,20062.9242,20062.9242,20062.9242
24,18974.0851,18974.0851,18974.0851
25,14993.9795,14993.9795,14993.9795
26,12450.4206,12450.4206,12450.4206
27,13280.1579,13280.1579,13280.1579
28,12710.9383,12710.9383,12710.9383
29,10739.8200,10739.8200,10739.8200
30,8318.3443,8318.3443,8318.3443
31,9078.0945,9078.0945,9078.0945
32,5095.7788,5095.7788,5095.7788
33,1812.4053,1812.4053,1812.4053
34,1373.6506,1373.6506,1373.6506
35,1466.8981,1466.8981,1466.8981
36,2546.3348,2546.3348,2546.3348
37,2479.0214,2479.0214,2479.0214
38,2258.5398,2258.5398,2258.5398
39,8286.3203,8286.3203,8286.3203
40,8301.2456,8301.2456,8301.2456
41,7033.9202,7033.9202,7033.9202
42,6376.2538,6376.2538,6376.2538
43,6052.9259,6052.9259,6052.9259
44,8565.5997,8565.5997,8565.5997
45,6301.0956,6301.0956,6301.0956
46,3428.6713,3428.6713,3428.6713
47,1783.6712,1783.6712,1783.6712
48,2681.8384,2681.8384,2681.8384
49,6409.3771,6409.3771,6409.3771
50,4045.1802,4045.1802,4045.1802
51,5945.8800,5945.8800,5945.8800
52,4076.8982,4076.8982,4076.8982
53,20532.8191,20532.8191,20532.8191
54,16140.4343,16140.4343,15942.4418
55,3183.0899,3183.0899,9252.1373
56,922.1545,922.1545,1157.6835
57,32897.6273,32897.6273,23198.4947
58,12088.0045,12088.0045,159217.3963
59,3699.2232,3699.2232,136021.5730
60,13095.3021,13095.3021,110096.2264
61,2464.3206,2464.3206,84453.3096
62,15451.5797,15451.5797,65900.7037
63,4869.5393,4869.5393,32207.9219
64,13875.5583,13875.5583,23370.3886
65,3527.7928,3527.7928,14582.5754
66,7120.2044,7120.2044,2656.5201
67,17293.7690,17293.7690,4068.2926
68,1989.1011,1989.1011,304.3041
69,1359.2855,1359.2855,798.5368
70,3228.2178,3228.2178,6232.0830
71,2474.6545,2474.6545,1997.7392
72,572.2762,572.2762,411.1812
73,4614.3015,4614.3015,2039.2494
74,7015.4067,7015.4067,8300.5423
75,5341.1840,5341.1840,7493.2570
76,10074.9495,10074.9495,2672.9753
77,2515.2042,2515.2042,373.1769
78,275.1091,275.1091,377.5884
79,1958.8851,1958.8851,1253.7899
80,735.2347,735.2347,1355.5836
81,1316.3863,1316.3863,600.0958
82,361.9033,361.9033,438.4587
83,3590.8509,3590.8509,1984.6912
84,16873.8027,16873.8027,12038.4687
85,4410.0525,4410.0525,743.8400
86,7058.2499,7058.2499,2334.6407
87,2597.6672,2597.6672,1009.2908
88,744.4535,744.4535,630.3221
89,375.9574,375.9574,534.6214
90,623.6866,623.6866,654.1598
91,961.5722,961.5722,596.5057
92,1161.1654,1161.1654,949.6857
93,2876.5940,2876.5940,1339.6455
94,12346.7701,12346.7701,14643.4042
95,3288.5383,3288.5383,1395.1086
96,12745.2874,12745.2874,11917.8718
97,8307.3381,8307.3381,1375.5170
98,2171.5663,2171.5663,775.5456
99,15808.3618,15806.0805,2060.4453
100,2559.6924,2561.3608,424.2134
