frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,705833.427223,310164.000000,1297.685632
4,559518.667159,266477.000000,1643.650814
8,128478.979720,55694.000000,1093.125336
16,144870.217440,81632.000000,1126.050621
32,546915.249765,280936.000000,4466.631169
64,180739.296543,90033.000000,1948.829392
128,517337.981089,300932.000000,16605.352149
256,656969.683624,320131.000000,51172.008735
512,479812.471876,283664.000000,11789.677052
1024,558975.645410,197172.000000,154953.933871
2048,279641.752736,95440.000000,82117.362829
4096,585714.527010,289650.000000,167907.741022
8192,298325.621496,146794.000000,229778.847991
16384,221485.323527,65582.000000,180502.417275
32768,463720.178590,187990.000000,191048.759381
65536,742328.134796,77271.000000,152460.919094
