frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,521090.446092,325738.000000,2122.209226
4,246116.143729,112555.000000,55.623736
8,303683.547389,246634.000000,494.338953
16,430175.768940,198511.000000,193.189027
32,280058.885297,102861.000000,2123.393981
64,442416.090030,171311.000000,12309.877782
128,149189.046069,111131.000000,2859.636166
256,393101.533363,290829.000000,57787.934035
512,139237.701263,60917.000000,51846.084394
1024,281379.694132,175954.000000,13761.933948
2048,213192.131679,110797.000000,19268.086932
4096,243640.237436,137780.000000,141067.584331
8192,1428223.264547,286046.000000,582567.813223
16384,842578.086221,249437.000000,354308.519495
32768,1831295.242949,144245.000000,1776977.009335
65536,3860709.462235,225300.000000,3664323.801021
