frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,700290.214284,329051.000000,83288.003188
4,400295.531501,126834.000000,49.284886
8,331805.390350,279918.000000,32.649655
16,657455.542832,283523.000000,61.538606
32,670699.826847,283815.000000,552.167547
64,479208.327032,193206.000000,3139.586119
128,685839.840000,288543.000000,186945.607507
256,1019012.458062,270273.000000,2395.225250
512,867475.131835,267344.000000,6980.952514
1024,436995.222767,205320.000000,43774.248994
2048,497355.332490,259939.000000,18812.773214
4096,1320300.930773,264898.000000,149839.963718
8192,303106.767057,61918.000000,11047.964971
16384,660169.938289,160153.000000,538034.078559
32768,450131.096733,130362.000000,340368.554454
65536,1150685.847904,205330.000000,1011491.514497
