frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,242703.073870,173559.000000,0.000000
4,606002.979729,277316.000000,0.000000
8,160069.057288,116281.000000,0.000000
16,334177.265219,158023.000000,0.000000
32,466269.507713,270510.000000,0.000000
64,587480.118311,207593.000000,0.000000
128,397072.723925,208524.000000,0.000000
256,241116.075995,100329.000000,0.000000
512,959357.361929,337749.000000,0.000000
1024,433425.249972,259815.000000,0.000000
2048,792986.401863,305460.000000,0.000000
4096,992326.564076,262228.000000,0.000000
8192,968884.929893,282286.000000,0.000000
16384,1388755.553994,312993.000000,0.000000
32768,1067625.601964,269703.000000,0.000000
65536,418839.748171,159282.000000,0.000000
