frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,285293.407044,189346.000000,0.000000
4,427001.237694,239224.000000,0.000000
8,162073.957742,123474.000000,0.000000
16,431035.262089,263071.000000,0.000000
32,247966.932798,193937.000000,0.000000
64,566738.380206,270984.000000,0.000000
128,443166.488885,251530.000000,0.000000
256,345681.302704,176088.000000,0.000000
512,275911.250235,156800.000000,0.000000
1024,316236.305507,233114.000000,0.000000
2048,372635.820955,223158.000000,0.000000
4096,314584.174985,210403.000000,0.000000
8192,545910.344036,287190.000000,0.000000
16384,531900.409566,230917.000000,0.000000
32768,371398.861875,123503.000000,0.000000
65536,433848.842359,135893.000000,0.000000
