frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,251295.832140,228738.000000,243.170722
4,735536.569451,328315.000000,43.255058
8,171026.855207,77573.000000,3614.222185
16,244741.331352,100434.000000,24.454039
32,221919.079612,167596.000000,1371.017505
64,700844.120038,286778.000000,8416.865628
128,1032467.791232,310143.000000,305.918290
256,528727.489793,244135.000000,3303.438814
512,979587.556137,342503.000000,1303.115498
1024,639043.327080,278321.000000,75628.145283
2048,702657.847726,278098.000000,61767.244969
4096,786573.154137,275819.000000,59104.491361
8192,322686.983571,135921.000000,70123.849901
16384,542392.449269,254813.000000,112733.963152
32768,938378.739502,302267.000000,478709.291922
65536,1150046.894676,264810.000000,947866.647088
