frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,455120.979378,206378.000000,0.000000
4,617173.467686,200716.000000,0.000000
8,533027.490082,296813.000000,0.000000
16,785028.532599,252673.000000,0.000000
32,692396.266867,304329.000000,0.000000
64,947601.615097,249387.000000,0.000000
128,823772.108899,279400.000000,0.000000
256,1230242.209762,299215.000000,0.000000
512,1278841.531875,249438.000000,0.000000
1024,1309647.996818,296814.000000,0.000000
2048,720729.488050,286495.000000,0.000000
4096,787134.987817,283171.000000,0.000000
8192,684733.098391,146630.000000,0.000000
16384,2906824.435493,301617.000000,0.000000
32768,2678545.965326,314063.000000,0.000000
65536,526982.603166,135084.000000,0.000000
