frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,399835.863190,266122.000000,63.976558
4,255590.591544,105447.000000,93.075238
8,1116987.372656,304465.000000,168.499258
16,613888.632514,275814.000000,38.961519
32,357786.646693,192301.000000,252.051582
64,586318.922193,255661.000000,975.587515
128,1249730.841559,316636.000000,1970.830789
256,979598.546831,295627.000000,17997.288796
512,681315.518495,282576.000000,68187.939696
1024,570817.438512,221860.000000,26812.327314
2048,732514.673591,147794.000000,67434.724260
4096,1050790.190330,232174.000000,427425.493016
8192,768402.861551,213613.000000,224208.292124
16384,387835.488906,85735.000000,167974.256611
32768,1049029.634061,211116.000000,618375.112981
65536,1482499.640609,249336.000000,0.000000
