frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,1045303.557623,192295.000000,48.321838
4,1040300.144175,192241.000000,113.982455
8,1180890.038517,297516.000000,7706.884130
16,1640733.054509,297296.000000,113.798067
32,2339596.274394,298896.000000,231917.546050
64,2391473.084901,298501.000000,27612.470136
128,2051887.236504,302996.000000,17786.560348
256,1903006.703707,285864.000000,65966.143839
512,2069042.965386,293534.000000,107911.722241
1024,1259602.152116,304496.000000,202115.705785
2048,3162949.069303,299178.000000,1082588.342405
4096,3956626.214974,281183.000000,1178896.866025
8192,2714389.962351,300122.000000,313982.851173
16384,3733851.778967,305561.000000,2553449.906002
32768,1022781.631106,75065.000000,0.000000
65536,8007899.952550,293162.000000,7408436.888030
