frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,1719236.409551,300056.000000,0.000000
4,825219.664895,208426.000000,0.000000
8,579563.848565,219292.000000,0.000000
16,1902081.492149,301519.000000,0.000000
32,1068549.264866,181402.000000,0.000000
64,1781482.177207,296670.000000,0.000000
128,1338997.687204,300229.000000,0.000000
256,2996983.522149,300044.000000,0.000000
512,1868256.005211,296286.000000,0.000000
1024,1740222.856409,299613.000000,0.000000
2048,1548426.440096,289499.000000,0.000000
4096,1756979.355543,271609.000000,0.000000
8192,2686804.487293,273879.000000,0.000000
16384,2689308.666627,302762.000000,0.000000
32768,3221959.738899,278404.000000,0.000000
65536,4410557.918310,305298.000000,0.000000
