frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,1123083.389161,34957.000000,0.000000
4,1225504.419644,46598.000000,0.000000
8,887172.142767,30974.000000,0.000000
16,1706257.039412,66041.000000,0.000000
32,2076832.602152,60765.000000,0.000000
64,2173232.593162,70517.000000,0.000000
128,2720312.567472,84083.000000,0.000000
256,2335953.279911,70158.000000,0.000000
512,2562294.976408,71299.000000,0.000000
1024,2119788.463849,59965.000000,0.000000
2048,3633241.738384,98963.000000,0.000000
4096,1193730.391141,40537.000000,0.000000
8192,2153845.248191,56824.000000,0.000000
16384,4601269.381925,116544.000000,0.000000
32768,6012253.846716,160127.000000,0.000000
65536,10183672.609033,219728.000000,0.000000
