frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,1159804.001968,42010.000000,0.000000
4,1895026.639078,75588.000000,0.000000
8,1091538.219775,51903.000000,0.000000
16,1573626.337796,64495.000000,0.000000
32,2603670.603849,101575.000000,0.000000
64,1461230.497522,61680.000000,0.000000
128,2447531.416529,94642.000000,0.000000
256,2706778.527914,108495.000000,0.000000
512,3144904.495499,116103.000000,0.000000
1024,1667470.526355,74099.000000,0.000000
2048,1796018.481657,68537.000000,0.000000
4096,2715402.586663,103001.000000,0.000000
8192,2845488.554157,109251.000000,0.000000
16384,3159140.826227,109130.000000,0.000000
32768,1798974.392420,78045.000000,0.000000
65536,1706119.272453,70983.000000,0.000000
