frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,515702.914679,19742.000000,0.000000
4,276183.599167,14112.000000,0.000000
8,1518883.434844,46110.000000,0.000000
16,1672482.595371,54341.000000,0.000000
32,1682086.914878,56363.000000,0.000000
64,2303962.714892,67985.000000,0.000000
128,3074814.248256,90922.000000,0.000000
256,3102227.621389,85956.000000,0.000000
512,3288422.121581,92530.000000,0.000000
1024,2893886.981580,85946.000000,0.000000
2048,2499023.859168,66466.000000,0.000000
4096,1080786.322121,35861.000000,0.000000
8192,1383898.556456,54135.000000,0.000000
16384,1936046.442659,60405.000000,0.000000
32768,8074662.866714,190748.000000,0.000000
65536,189530.260436,13583.000000,0.000000
