frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,670569.626182,18295.000000,2653.279292
4,539002.838976,9943.000000,1767.241070
8,1028205.573237,19489.000000,23440.653894
16,998388.041655,16241.000000,41464.730893
32,1949862.142115,31899.000000,59173.505803
64,716318.857717,13281.000000,3527.506485
128,1448318.253571,29121.000000,132030.128251
256,811889.284878,13175.000000,24800.369110
512,1721166.249452,28215.000000,293089.309884
1024,1553308.746285,32617.000000,75209.743777
2048,1086075.369825,22622.000000,119908.886601
4096,2296313.106914,33518.000000,822870.009181
8192,984605.177580,17811.000000,202398.763662
16384,1108205.291028,18792.000000,373701.043388
32768,784014.450508,18004.000000,453720.519946
65536,3194564.302862,45207.000000,1277618.669191
