frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,100152.502785,4002.000000,89.308454
4,3207348.677770,51633.000000,41872.327365
8,1643065.207727,31067.000000,17803.593429
16,1015716.897205,22016.000000,10479.545171
32,3154377.659169,48712.000000,152206.231462
64,705113.986563,17235.000000,335.810959
128,1101261.829962,15963.000000,59976.785367
256,2644546.056758,44298.000000,54207.326617
512,553393.035163,11193.000000,50031.326846
1024,2059492.392862,35457.000000,398221.776054
2048,1339084.887789,20078.000000,145829.882449
4096,1111456.290598,21282.000000,401784.729686
8192,3716283.178767,55028.000000,1301243.802851
16384,816961.028079,22698.000000,359514.636342
32768,1280281.255291,24492.000000,727191.477819
65536,1870126.360152,24286.000000,695074.508435
