frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,2162856.627042,39868.000000,60288.936473
4,1769382.493445,39143.000000,1509.270022
8,2143805.907593,33547.000000,11571.962971
16,612257.374879,15800.000000,37423.153702
32,574406.661773,23528.000000,684.937223
64,1983972.016526,36723.000000,77036.533074
128,752647.936177,16443.000000,149.512541
256,645997.506233,12056.000000,42393.101609
512,2297595.945287,38656.000000,28077.946613
1024,4615425.360061,62506.000000,118759.831677
2048,1859419.198505,33359.000000,4206.043034
4096,633133.288127,16176.000000,121107.608473
8192,2624125.927154,41774.000000,697192.107220
16384,3129331.464755,101985.000000,232122.519825
32768,2311632.700237,34821.000000,922037.278044
65536,3300071.687944,56741.000000,2146420.325499
