frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,361373.185037,9005.000000,11143.206899
4,684762.270760,14651.000000,1771.619598
8,500892.904896,11192.000000,7110.158507
16,1396630.611619,22847.000000,75.226325
32,1270619.430930,35516.000000,2976.261917
64,1718779.002797,28793.000000,29649.383231
128,359652.915669,21637.000000,2128.617861
256,1961983.624172,32651.000000,191063.770702
512,3196289.248968,41933.000000,387418.700231
1024,855797.070048,24209.000000,30898.595858
2048,2003914.630198,30295.000000,367760.234543
4096,2712915.984889,41318.000000,492933.536867
8192,1573960.760616,31345.000000,446349.077027
16384,2259180.619305,42042.000000,244457.926196
32768,1498399.900580,27917.000000,469293.993454
65536,1464146.005930,27618.000000,867127.085308
