frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,3125469.131143,50174.000000,76615.483507
4,670908.346139,16660.000000,10192.076874
8,1085971.855058,19184.000000,45429.627172
16,502336.141740,12934.000000,1307.000000
32,453291.464648,14862.000000,11841.562101
64,993080.256381,23584.000000,15663.419039
128,504762.344953,11534.000000,25313.523441
256,549808.123233,12198.000000,61827.485150
512,1003878.384006,26191.000000,54535.216915
1024,1192623.934333,21586.000000,182787.515006
2048,608434.554370,13762.000000,85254.123478
4096,2746313.050167,82916.000000,1982039.838295
8192,1994594.585727,36721.000000,961165.078568
16384,1088433.483219,24705.000000,704751.416901
32768,2548962.158544,53471.000000,1103984.479445
65536,465708.166638,18553.000000,159885.547674
