frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,368048.099670,7548.000000,14827.697057
4,257160.903265,6903.000000,6206.178776
8,204519.678224,5321.000000,5487.845297
16,508789.229221,10920.000000,5997.816019
32,523263.443530,9827.000000,24465.966218
64,699577.243435,11265.000000,28805.772581
128,700708.861446,13870.000000,79734.531277
256,1354280.880504,20396.000000,65585.997774
512,1251305.492823,30669.000000,122873.624761
1024,1140855.805282,19796.000000,231025.181982
2048,1377970.589688,24246.000000,284567.732463
4096,767902.591924,20346.000000,71863.109020
8192,997332.537835,15470.000000,288617.182063
16384,1372836.404801,21812.000000,600568.187464
32768,1159113.769586,17788.000000,312164.144849
65536,132072.107229,3837.000000,0.000000
