frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,174974.098915,80901.000000,40.174619
4,281416.192301,119732.000000,55.199638
8,571684.972549,276896.000000,146.577624
16,137394.772728,63124.000000,68.022055
32,342605.244027,116611.000000,227.490659
64,637502.974777,251581.000000,34862.142332
128,586550.553902,279554.000000,265.116955
256,703478.765920,297915.000000,2554.147803
512,816874.314721,257654.000000,12400.080927
1024,864468.009469,290585.000000,22329.369584
2048,227470.079769,135972.000000,41054.021192
4096,575544.715305,270949.000000,28645.627642
8192,518781.638855,224161.000000,138761.219889
16384,1083145.389139,233995.000000,779271.334986
32768,859828.888154,139144.000000,620191.429170
65536,579338.749653,168896.000000,0.000000
