frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,87593.660998,51100.000000,85.644615
4,453813.031849,303178.000000,53.907328
8,282113.264883,188347.000000,326.185530
16,79336.308245,34630.000000,263.755569
32,322188.398652,203060.000000,397.910794
64,413098.371685,292532.000000,204.191087
128,258348.408400,156786.000000,815.990196
256,245520.591088,191181.000000,11491.591013
512,268579.501353,165411.000000,15450.121812
1024,462550.133996,263488.000000,26106.393125
2048,536001.405162,278546.000000,10854.662777
4096,704325.374894,247229.000000,20542.780654
8192,523548.817517,209952.000000,204973.784082
16384,425333.572961,192364.000000,347522.356161
32768,707761.411618,134664.000000,665518.128834
65536,817752.369972,269812.000000,684654.832582
