frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,248461.113223,196531.000000,66.550733
4,296213.176839,166342.000000,19.723083
8,357608.496426,244878.000000,339.402416
16,119451.221346,87343.000000,80.249611
32,67665.618581,31640.000000,474.150820
64,263845.612022,242071.000000,1979.217270
128,210667.752416,145056.000000,472.712386
256,153897.425463,94196.000000,264.053025
512,217254.358746,149061.000000,4957.778434
1024,112566.281395,51037.000000,871.936351
2048,165923.286428,139099.000000,14538.060497
4096,184434.868910,126005.000000,35943.910653
8192,105761.553142,55622.000000,43049.003972
16384,580103.983984,247009.000000,253025.702823
32768,166194.259970,151809.000000,13445.650561
65536,552790.000425,241341.000000,273806.548348
