frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,267133.710235,131546.000000,66.700825
4,266090.110166,152643.000000,191.240686
8,320592.287644,122738.000000,177.431677
16,408449.402475,177029.000000,303.963814
32,306621.878308,132042.000000,30166.298563
64,605220.557770,259709.000000,1417.579275
128,402012.864363,292709.000000,516.035851
256,931341.629817,277065.000000,1278.769330
512,400743.237493,191251.000000,13182.642831
1024,529189.917988,206354.000000,60634.684530
2048,666920.984903,267565.000000,129310.969411
4096,732690.460504,266220.000000,263274.937852
8192,1027094.394965,297118.000000,552508.678539
16384,1226408.764269,138952.000000,86289.170844
32768,363519.830144,175021.000000,260535.475393
65536,1167678.754662,231712.000000,1069166.288722
