frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,482766.210972,264601.000000,98.726896
4,220190.027340,112956.000000,283.776320
8,275214.101070,185724.000000,73.803794
16,361507.369774,231235.000000,3368.361916
32,357101.760005,197562.000000,13563.572575
64,706207.115037,263318.000000,411.617541
128,537677.951674,246723.000000,1045.741364
256,492770.048891,260233.000000,2593.759048
512,243359.488695,129524.000000,5405.683398
1024,1036316.184802,289291.000000,207915.040601
2048,955001.044457,241334.000000,267329.378423
4096,517686.555694,242853.000000,97821.335377
8192,418960.294711,167184.000000,287549.042356
16384,1150967.163033,281859.000000,581894.002765
32768,1553861.464628,261525.000000,966081.026221
65536,2342173.283813,146444.000000,1838474.312648
