frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,344954.118401,179688.000000,135.151767
4,335060.610953,169505.000000,86.879227
8,350459.953384,266121.000000,69.217050
16,400133.184891,285132.000000,101.039596
32,362077.472385,223151.000000,154.835396
64,528170.591477,235015.000000,795.338921
128,304394.917998,131643.000000,741.369004
256,421050.661852,200339.000000,7243.173821
512,761743.256323,267413.000000,37970.853704
1024,235607.897542,159021.000000,41198.551904
2048,626748.956649,275809.000000,230664.625118
4096,424869.510389,185697.000000,40388.989713
8192,1467665.908388,273579.000000,899979.302290
16384,1285667.315517,295468.000000,259191.962730
32768,1616539.558202,113152.000000,1534035.884173
65536,2543555.811916,235355.000000,1299173.737871
