frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,117082.517508,74883.000000,66.007575
4,547192.408049,296498.000000,65.345237
8,343756.750172,247966.000000,25.961510
16,467184.567834,266597.000000,134.640261
32,583096.775021,274932.000000,262.884005
64,309597.016683,227955.000000,8716.744977
128,310186.423239,133600.000000,956.987983
256,1114836.662495,292635.000000,3475.562544
512,914253.473187,285502.000000,17654.251952
1024,692290.229712,293714.000000,32437.792850
2048,674944.272626,278527.000000,42332.358864
4096,1071139.940134,284901.000000,500358.665505
8192,546294.987705,243042.000000,175739.229422
16384,647391.724278,134362.000000,463644.310268
32768,1235675.574636,156687.000000,1175003.326857
65536,1201637.296409,101352.000000,436779.216542
